event time,asset,transaction time,ask,ask size,bid,bid size
1747689814039,1000PEPEUSDT,1747689814059,0.0132229,43338,0.0132202,454
1747689814066,BTCUSDT,1747689814066,105277.80,12.861,5000.00,0.736
1747689814085,ETHUSDT,1747689814086,2515.81,144.820,200.00,26.897
1747689814091,BTCUSDC,1747689814098,105306.3,0.151,105247.0,0.285
1747689814083,ETHUSDC,1747689814099,2517.23,0.116,2513.50,97.997
1747689814110,SOLUSDT,1747689814112,165.7100,440.54,132.5600,1.35
1747689814111,DOGEUSDT,1747689814116,0.223650,23820,0.178920,40
1747689814133,XRPUSDT,1747689814134,2.3752,10076.2,2.3469,6149.8
1747689814156,MOODENGUSDT,1747689814157,0.2515400,80,0.2237900,0
1747689814166,BTCUSDT,1747689814167,105277.80,12.881,1000.00,64.178
1747689814146,1000PEPEUSDT,1747689814171,0.0132225,83115,0.0130030,206446
1747689814188,ETHUSDT,1747689814189,2515.81,144.860,2478.82,33.903
1747689814198,BTCUSDC,1747689814199,105306.1,2.601,105262.1,0.118
1747689814172,ETHUSDC,1747689814213,2516.59,47.417,2513.50,1.192
1747689814214,DOGEUSDT,1747689814218,0.223650,23951,0.178920,0
1747689814233,XRPUSDT,1747689814237,2.3752,14363.0,2.1376,7894.0
1747689814214,SOLUSDT,1747689814245,165.7000,510.79,160.6400,20.10
1747689814247,MOODENGUSDT,1747689814258,0.2473800,25482,0.2448100,353
1747689814263,BTCUSDT,1747689814269,105277.80,12.886,1000.00,64.028
1747689814251,1000PEPEUSDT,1747689814275,0.0132198,27739,0.0105765,0
1747689814291,ETHUSDT,1747689814292,2515.81,144.650,200.00,26.897
1747689814287,BTCUSDC,1747689814302,105306.1,2.857,101339.1,0.000
1747689814307,DOGEUSDT,1747689814321,0.223700,56935,0.218380,258548
1747689814322,ETHUSDC,1747689814323,2549.36,213.781,,
1747689814333,XRPUSDT,1747689814338,2.3755,14503.9,2.3658,11410.5
1747689814342,SOLUSDT,1747689814348,165.7000,510.91,162.8800,698.94
1747689814360,MOODENGUSDT,1747689814361,0.2465000,2794,0.2456500,818
1747689814371,BTCUSDT,1747689814372,105272.90,0.000,5000.00,0.736
1747689814366,1000PEPEUSDT,1747689814377,0.0132198,171009,0.0131964,454
1747689814387,ETHUSDT,1747689814396,2515.87,0.000,200.00,26.897
1747689814416,BTCUSDC,1747689814417,105310.8,0.004,101339.1,1.172
1747689814423,DOGEUSDT,1747689814424,0.223650,23951,0.216260,6894
1747689814439,XRPUSDT,1747689814440,2.3755,17508.9,2.3563,122274.5
1747689814446,ETHUSDC,1747689814448,2516.97,5.151,2498.40,0.000
1747689814451,SOLUSDT,1747689814454,165.7000,510.55,160.6400,21.52
1747689814435,MOODENGUSDT,1747689814462,0.2467600,7142,0.2456000,22690
1747689814470,BTCUSDT,1747689814473,105277.90,0.006,1000.00,64.028
1747689814457,1000PEPEUSDT,1747689814480,0.0132198,178633,0.0126239,1571718
1747689814495,ETHUSDT,1747689814497,2515.81,144.650,2475.55,34.486
1747689814517,BTCUSDC,1747689814520,105306.1,2.875,105197.3,6.196
1747689814526,DOGEUSDT,1747689814536,0.223650,24013,0.219560,214192
1747689814542,XRPUSDT,1747689814543,2.3752,14631.3,2.3479,9155.7
1747689814507,ETHUSDC,1747689814550,2516.59,47.406,2479.52,18.168
1747689814553,SOLUSDT,1747689814558,165.7000,510.07,132.5600,1.41
1747689814542,MOODENGUSDT,1747689814565,0.2465000,1969,0.2417000,91550
1747689814573,BTCUSDT,1747689814575,105277.80,12.788,5000.00,0.736
1747689814560,1000PEPEUSDT,1747689814583,0.0132198,200012,0.0129456,0
1747689814600,ETHUSDT,1747689814602,2515.87,0.008,200.00,26.897
1747689814614,DOGEUSDT,1747689814638,0.223650,24178,0.216700,69786
1747689814644,XRPUSDT,1747689814648,2.3754,15246.6,2.3643,72548.1
1747689814651,BTCUSDC,1747689814654,105306.1,2.875,105204.6,0.220
1747689814651,SOLUSDT,1747689814661,165.7000,510.10,132.5600,1.35
1747689814654,ETHUSDC,1747689814663,2516.65,0.071,2334.32,0.000
1747689814661,MOODENGUSDT,1747689814668,0.2467100,10223,0.2456000,22690
1747689814672,BTCUSDT,1747689814678,105277.80,12.871,5000.00,0.736
1747689814685,1000PEPEUSDT,1747689814686,0.0132215,772,0.0131689,683572
1747689814696,ETHUSDT,1747689814704,2515.81,143.590,200.00,26.897
1747689814744,DOGEUSDT,1747689814748,0.224490,64219,0.220140,1708915
1747689814744,XRPUSDT,1747689814750,2.3754,13547.5,2.3374,3539.3
1747689814760,MOODENGUSDT,1747689814772,0.2467600,7978,0.2338200,10965
